siruta,primar,jud_code,jud_name,jud_lbl,uat_name,uat_lbl,id_partid,partid,abv_partid,id_partid_principal,nume_partid_principal,abv_partid_principal,colsen,coldep
154013,ȘEFU MARIAN                                       ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Scrioaștea,SCRIOAȘTEA,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,3,5
129898,STĂNESCU CONSTANTIN                               ,OT,JUDEȚUL OLT,OLT,Vișina,VIȘINA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,3,7
154139,CĂLIN LUCIAN                                      ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Seaca,SEACA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,2
129184,VASILE MARIAN                                     ,OT,JUDEȚUL OLT,OLT,Studina,STUDINA,15,PARTIDUL DEMOCRAT LIBERAL,PDL,15,PARTIDUL DEMOCRAT LIBERAL,PDL,2,5
129460,GULIE VIRGIL                                      ,OT,JUDEȚUL OLT,OLT,Tia Mare,TIA MARE,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,3,7
129567,NEGRILĂ MARIAN                                    ,OT,JUDEȚUL OLT,OLT,Traian,TRAIAN,31,PARTIDUL NAȚIONAL LIBERAL,PNL,31,PARTIDUL NAȚIONAL LIBERAL,PNL,3,6
129629,SPIRIDON ION                                      ,OT,JUDEȚUL OLT,OLT,Urzica,URZICA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,3,7
129718,RĂDULESCU SORIN                                   ,OT,JUDEȚUL OLT,OLT,Vădastra,VĂDASTRA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,3,7
127938,OIȚĂ VIOREL                                       ,OT,JUDEȚUL OLT,OLT,Orlea,ORLEA,63,UNIUNEA NAȚIONALĂ PENTRU PROGRESUL ROMÂNIEI,UNPR,63,UNIUNEA NAȚIONALĂ PENTRU PROGRESUL ROMÂNIEI,UNPR,3,7
128613,CĂLIN MARIN                                       ,OT,JUDEȚUL OLT,OLT,Scărișoara,SCĂRIȘOARA,31,PARTIDUL NAȚIONAL LIBERAL,PNL,31,PARTIDUL NAȚIONAL LIBERAL,PNL,3,6
128864,BĂLUȚĂ MARIAN                                     ,OT,JUDEȚUL OLT,OLT,Seaca,SEACA,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,3,6
154344,ȘTEFAN MARINEL                                    ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Slobozia Mândra,SLOBOZIA MÂNDRA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,1
130375,ȚOL FLORIN CRISTIAN                               ,OT,JUDEȚUL OLT,OLT,Vișina Nouă,VIȘINA NOUĂ,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,3,7
151790,DRĂGUȘIN VICTOR                                   ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Municipiul Alexandria,ALEXANDRIA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,2,3
151816,GROSU FLOREA                                      ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Nanov,NANOV,28,ALIANȚA PENTRU TELEORMAN,Al-Teleorman,15,PARTIDUL DEMOCRAT LIBERAL,PDL,2,3
155154,BĂRBULESCU FLORICA AURELIA                        ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Uda-Clocociov,UDA-CLOCOCIOV,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,1
152993,DRAGNE MARIAN                                     ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Frumoasa,FRUMOASA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,2
152332,TRĂISTARU VALENTIN                                ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Buzescu,BUZESCU,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,2,6
152412,NIȚU GEORGE VALENTIN                              ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Călmățuiu,CĂLMĂȚUIU,28,ALIANȚA PENTRU TELEORMAN,Al-Teleorman,15,PARTIDUL DEMOCRAT LIBERAL,PDL,1,1
152617,LICĂ IULIAN                                       ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Crângeni,CRÂNGENI,28,ALIANȚA PENTRU TELEORMAN,Al-Teleorman,15,PARTIDUL DEMOCRAT LIBERAL,PDL,1,1
152662,SITEAVU MINEL-GELU                                ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Crângu,CRÂNGU,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,2
125490,ȘOANCĂ ȘTEFAN VIOREL                              ,OT,JUDEȚUL OLT,OLT,Drăghiceni,DRĂGHICENI,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,2,4
151709,GÂDEA ANGHEL                                      ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Ciuperceni,CIUPERCENI,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,2
153151,BUZALĂ MARIN                                      ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Lunca,LUNCA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,1
154497,MAGEREANU IOANA                                   ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Ștorobăneasa,ȘTOROBĂNEASA,28,ALIANȚA PENTRU TELEORMAN,Al-Teleorman,15,PARTIDUL DEMOCRAT LIBERAL,PDL,2,3
154460,BARBU COSTEL                                      ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Suhaia,SUHAIA,28,ALIANȚA PENTRU TELEORMAN,Al-Teleorman,15,PARTIDUL DEMOCRAT LIBERAL,PDL,1,2
155083,ANDREI GHEORGHE                                   ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Beciu,BECIU,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,1
154834,PISICĂ FLORIAN GELU                               ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Țigănești,ȚIGĂNEȘTI,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,2
154914,NEAMU TIBERIU DAN                                 ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Viișoara,VIIȘOARA,28,ALIANȚA PENTRU TELEORMAN,Al-Teleorman,15,PARTIDUL DEMOCRAT LIBERAL,PDL,1,2
155145,CÂRJAN GABRIEL                                    ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Saelele,SAELELE,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,1
152038,VLAD ION                                          ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Băbăița,BĂBĂIȚA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,2,6
152868,LETCANU VICTOR                                    ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Drăgănești De Vede,DRĂGĂNEȘTI DE VEDE,28,ALIANȚA PENTRU TELEORMAN,Al-Teleorman,15,PARTIDUL DEMOCRAT LIBERAL,PDL,3,5
153561,CHERA DĂNUȚ                                       ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Piatra,PIATRA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,2
153605,GROSU DANIEL                                      ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Plosca,PLOSCA,28,ALIANȚA PENTRU TELEORMAN,Al-Teleorman,15,PARTIDUL DEMOCRAT LIBERAL,PDL,2,6
128560,SÂRBU VERGIL                                      ,OT,JUDEȚUL OLT,OLT,Rotunda,ROTUNDA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,2,5
127224,IOVANCEA DOREL                                    ,OT,JUDEȚUL OLT,OLT,Grojdibodu,GROJDIBODU,31,PARTIDUL NAȚIONAL LIBERAL,PNL,31,PARTIDUL NAȚIONAL LIBERAL,PNL,3,7
153829,RĂDUCA PETRE                                      ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Putineiu,PUTINEIU,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,2
153865,CIOACĂ ION                                        ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Rădoiești,RĂDOIEȘTI,31,PARTIDUL NAȚIONAL LIBERAL,PNL,31,PARTIDUL NAȚIONAL LIBERAL,PNL,2,6
153124,BĂCANU DANIEL SORIN                               ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Lisa,LISA,28,ALIANȚA PENTRU TELEORMAN,Al-Teleorman,15,PARTIDUL DEMOCRAT LIBERAL,PDL,1,2
153277,OPRINA ION                                        ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Măldăeni,MĂLDĂENI,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,3,5
153589,MARCEA ADELI OCTAVIAN                             ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Pietroșani,PIETROȘANI,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,2,3
71634,CELĂREANU STELIAN                                 ,DJ,JUDEȚUL DOLJ,DOLJ,Celaru,CELARU,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,5,10
153776,NEDEA SIMION                                      ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Vitănești,VITĂNEȘTI,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,3,4
154166,ISVORANU ION                                      ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Sfințești,SFINȚEȘTI,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,2,6
154996,VÎLCU SANDU                                       ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Nenciulești,NENCIULEȘTI,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,3,4
154415,MOISE ALEXANDRU                                   ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Stejaru,STEJARU,28,ALIANȚA PENTRU TELEORMAN,Al-Teleorman,15,PARTIDUL DEMOCRAT LIBERAL,PDL,3,5
100549,GHEONU MIHAI                                      ,GR,JUDEȚUL GIURGIU,GIURGIU,Slobozia,SLOBOZIA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,2
105348,ENE I. ILIE                                       ,GR,JUDEȚUL GIURGIU,GIURGIU,Stoenești,STOENEȘTI,57,PARTIDUL POPORULUI - DAN DIACONESCU,PP-DD,57,PARTIDUL POPORULUI - DAN DIACONESCU,PP-DD,2,3
126148,MARANCEA IONEL                                    ,OT,JUDEȚUL OLT,OLT,Cilieni,CILIENI,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,3,6
129282,MĂGUREANU VIOREL MARIUS                           ,OT,JUDEȚUL OLT,OLT,Ștefan Cel Mare,ȘTEFAN CEL MARE,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,3,7
152127,PIRNEA MARIN                                      ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Bogdana,BOGDANA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,2
154380,BRÂNZĂREA STELIAN                                 ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Smârdioasa,SMÂRDIOASA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,2,3
72052,ILIESCU DUMITRU                                   ,DJ,JUDEȚUL DOLJ,DOLJ,Dioști,DIOȘTI,49,PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT,P.N.T.C.D.,49,PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT,P.N.T.C.D.,5,10
105909,BĂLAN J.MARIAN                                    ,GR,JUDEȚUL GIURGIU,GIURGIU,Vedea,VEDEA,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,1,2
127144,POPESCU MARIUS ȘTEFAN                             ,OT,JUDEȚUL OLT,OLT,Gostavățu,GOSTAVĂȚU,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,3,6
154790,TUDORICĂ MARIAN                                   ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Troianul,TROIANUL,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,2
154852,DRĂGHICI AUREL                                    ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Vedea,VEDEA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,2,6
127368,VELICA MIRCEA                                     ,OT,JUDEȚUL OLT,OLT,Izbiceni,IZBICENI,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,3,7
155109,DONCEA COSTICĂ                                    ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Dracea,DRACEA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,2
155118,POPA MARIAN                                       ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Fântânele,FÂNTÂNELE,28,ALIANȚA PENTRU TELEORMAN,Al-Teleorman,15,PARTIDUL DEMOCRAT LIBERAL,PDL,1,2
153204,STAN NICOLAE                                      ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Mavrodin,MAVRODIN,28,ALIANȚA PENTRU TELEORMAN,Al-Teleorman,15,PARTIDUL DEMOCRAT LIBERAL,PDL,3,4
129040,TOMA  CONSTANTIN GICĂ                             ,OT,JUDEȚUL OLT,OLT,Sprâncenata,SPRÂNCENATA,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,3,6
125542,OANE IULICĂ                                       ,OT,JUDEȚUL OLT,OLT,Oraș Corabia,CORABIA,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,3,7
70637,DINU ION                                          ,DJ,JUDEȚUL DOLJ,DOLJ,Amărăștii De Jos,AMĂRĂȘTII DE JOS,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,5,10
70673,ROȘIU VALENTIN                                    ,DJ,JUDEȚUL DOLJ,DOLJ,Amărăștii De Sus,AMĂRĂȘTII DE SUS,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,5,10
127019,TUDOR MARIN                                       ,OT,JUDEȚUL OLT,OLT,Fărcașele,FĂRCAȘELE,63,UNIUNEA NAȚIONALĂ PENTRU PROGRESUL ROMÂNIEI,UNPR,63,UNIUNEA NAȚIONALĂ PENTRU PROGRESUL ROMÂNIEI,UNPR,2,5
127126,IMIREANU DOREL CĂTĂLIN                            ,OT,JUDEȚUL OLT,OLT,Giuvărăști,GIUVĂRĂȘTI,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,3,7
127251,PASCU N. MIREL                                    ,OT,JUDEȚUL OLT,OLT,Ianca,IANCA,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,3,7
103194,MARCU DUMITRU                                     ,GR,JUDEȚUL GIURGIU,GIURGIU,Găujani,GĂUJANI,31,PARTIDUL NAȚIONAL LIBERAL,PNL,31,PARTIDUL NAȚIONAL LIBERAL,PNL,1,2
128524,BĂLĂ DAN                                          ,OT,JUDEȚUL OLT,OLT,Redea,REDEA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,2,5
128472,SÎIA  NICUȘOR                                     ,OT,JUDEȚUL OLT,OLT,Radomirești,RADOMIREȘTI,31,PARTIDUL NAȚIONAL LIBERAL,PNL,31,PARTIDUL NAȚIONAL LIBERAL,PNL,3,6
153623,ALEXE MARCEL                                      ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Plopii-Slăvitești,PLOPII-SLĂVITEȘTI,28,ALIANȚA PENTRU TELEORMAN,Al-Teleorman,15,PARTIDUL DEMOCRAT LIBERAL,PDL,1,1
151763,POPESCU DOREL                                     ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Lița,LIȚA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,1
125472,CIOCĂZANU EDUARD CLAUDIU                          ,OT,JUDEȚUL OLT,OLT,Municipiul Caracal,CARACAL,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,2,5
126718,TUDORAȘCU GHEORGHE                                ,OT,JUDEȚUL OLT,OLT,Dobrosloveni,DOBROSLOVENI,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,2,4
129095,DAMIAN ALEXANDRU                                  ,OT,JUDEȚUL OLT,OLT,Stoenești,STOENEȘTI,57,PARTIDUL POPORULUI - DAN DIACONESCU,PP-DD,57,PARTIDUL POPORULUI - DAN DIACONESCU,PP-DD,2,5
130026,TOCEA ST. MARIAN                                  ,OT,JUDEȚUL OLT,OLT,Vlădila,VLĂDILA,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,2,5
126585,SOARE NICOLAE                                     ,OT,JUDEȚUL OLT,OLT,Dăneasa,DĂNEASA,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,3,6
126647,ALIMAN D. ION                                     ,OT,JUDEȚUL OLT,OLT,Deveselu,DEVESELU,57,PARTIDUL POPORULUI - DAN DIACONESCU,PP-DD,57,PARTIDUL POPORULUI - DAN DIACONESCU,PP-DD,2,5
130320,DINCĂ ION                                         ,OT,JUDEȚUL OLT,OLT,Grădinile,GRĂDINILE,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,2,5
130339,CRANTA GICU                                       ,OT,JUDEȚUL OLT,OLT,Gura Padinii,GURA PADINII,31,PARTIDUL NAȚIONAL LIBERAL,PNL,31,PARTIDUL NAȚIONAL LIBERAL,PNL,3,7
151870,DUICĂ CRISTIAN                                    ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Municipiul Roșiori De Vede,ROȘIORI DE VEDE,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,3,5
151834,BADEA IULIAN                                      ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Poroschia,POROSCHIA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,2,3
152350,HAITĂ GABRIEL                                     ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Călinești,CĂLINEȘTI,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,3,4
154184,MANOLEA FLOREA                                    ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Segarcea-Vale,SEGARCEA-VALE,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,1
154736,DANA BENONE                                       ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Traian,TRAIAN,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,2
152467,COMAN ION                                         ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Călmățuiu De Sus,CĂLMĂȚUIU DE SUS,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,3,5
152948,DRAGOMIR PAUL VALICĂ                              ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Furculești,FURCULEȘTI,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,2
128588,CHIREA ALEXANDRU                                  ,OT,JUDEȚUL OLT,OLT,Rusănești,RUSĂNEȘTI,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,3,6
72007,DRĂGOI NICOLAE                                    ,DJ,JUDEȚUL DOLJ,DOLJ,Oraș Dăbuleni,DĂBULENI,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,5,10
125622,ROTARU PANTELIE                                   ,OT,JUDEȚUL OLT,OLT,Oraș Drăgănești-Olt,DRĂGĂNEȘTI-OLT,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,3,6
125659,NEGRILĂ FLOREA                                    ,OT,JUDEȚUL OLT,OLT,Băbiciu,BĂBICIU,57,PARTIDUL POPORULUI - DAN DIACONESCU,PP-DD,57,PARTIDUL POPORULUI - DAN DIACONESCU,PP-DD,3,6
125962,OPREA CICI - CONSTANTIN                           ,OT,JUDEȚUL OLT,OLT,Brastavățu,BRASTAVĂȚU,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,3,7
127536,DOBRIȚA CONSTANTIN                                ,OT,JUDEȚUL OLT,OLT,Mihăești,MIHĂEȘTI,31,PARTIDUL NAȚIONAL LIBERAL,PNL,31,PARTIDUL NAȚIONAL LIBERAL,PNL,3,6
